artist,track,track_url,related_artist,related_track,related_track_url,tags
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,,,,"synthwave, synthpop, pop, 2019, electropop, 2010s, The Weeknd, -1001740215468, synth-pop, 2020s"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,The Weeknd,Save Your Tears,https://www.last.fm/music/The+Weeknd/_/Save+Your+Tears,"pop, synthpop, -1001740215468, rnb, synthwave, alternative rnb, new romantic, The Weeknd, 2020, Canadian"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,The Weeknd,In Your Eyes,https://www.last.fm/music/The+Weeknd/_/In+Your+Eyes,"synthwave, synthpop, pop, 2020, rnb, new wave, Canadian, The Weeknd, dance, canada"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Tory Lanez,The Color Violet,https://www.last.fm/music/Tory+Lanez/_/The+Color+Violet,synthwave
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Ariana Grande,we can't be friends (wait for your love),https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),"pop, synthpop, 2024, soty, best of 2024, Robyn's daughter, electropop, dream pop, synth, female vocalists"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Charli xcx,Apple,https://www.last.fm/music/Charli+xcx/_/Apple,"synthpop, electropop, dance-pop, synthwave, pop, electronic, brat, 2024, my top songs, dance"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Chase Atlantic,Heaven and Back,https://www.last.fm/music/Chase+Atlantic/_/Heaven+and+Back,"electronic, pop, synthpop, saw live, synthwave, hyperpop"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Joji,Gimme Love,https://www.last.fm/music/Joji/_/Gimme+Love,"soul, pop, synthpop, electronic, alternative rnb, electropop, indie pop, alt-pop, rnb, alternative pop"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Sabrina Carpenter,Nobody’s Son,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son,"synthpop, ska, new wave, female vocalist, synth pop, Europop, snl, reggae fusion, loveparanoia"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Trevor Daniel,Falling,https://www.last.fm/music/Trevor+Daniel/_/Falling,"2010s, pop, 2019, trevor daniel, b flat minor, electronica influences, 10s, 2020, danceable beats, syncopated beats"
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,Charlie Puth,Cheating on You,https://www.last.fm/music/Charlie+Puth/_/Cheating+on+You,
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,,,,"rnb, pop, electronic, Daft Punk, 2016, electropop, 2010s, synthpop, The Weeknd, dance"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,The Weeknd,I Feel It Coming,https://www.last.fm/music/The+Weeknd/_/I+Feel+It+Coming,"pop, rnb, Daft Punk, Disco, synth funk, 2016, dance-pop, electronic, dance, nu-disco"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,The Weeknd,Sidewalks,https://www.last.fm/music/The+Weeknd/_/Sidewalks,"kendrick lamar, rnb, Hip-Hop, sam smith, The Weeknd, rap, hiphop, say say say,  hip-hop, 2016"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Justin Bieber,Confident,https://www.last.fm/music/Justin+Bieber/_/Confident,"Hip-Hop, pop, chance the rapper, rnb, 2013, my top songs, justin bieber, journals, hip hop, rap"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Kendrick Lamar,All the Stars (with SZA),https://www.last.fm/music/Kendrick+Lamar/_/All+the+Stars+(with+SZA),
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,H.E.R.,Could've Been (feat. Bryson Tiller),https://www.last.fm/music/H.E.R./_/Could%27ve+Been+(feat.+Bryson+Tiller),"rnb, Hip-Hop, Bryson Tiller, trap, h.e.r."
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Drake,"Hold On, We're Going Home","https://www.last.fm/music/Drake/_/Hold+On,+We%27re+Going+Home","pop, rnb, 2013, Love, Ballad, synthpop, r&b, 10s, 2010s, Canadian"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Khalid,Better,https://www.last.fm/music/Khalid/_/Better,"pop, rnb, C minor, american, electronica influences, mild rhythmic syncopation, acoustic rhythm piano, a subtle use of vocal harmony, a vocal-centric aesthetic, major key tonality"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Ariana Grande,Side to Side,https://www.last.fm/music/Ariana+Grande/_/Side+to+Side,"pop, 2016, nicki minaj, reggae, sing-along, just dance, sexy, hino, Ariana Grande, 2010s"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Ariana Grande,Love Me Harder,https://www.last.fm/music/Ariana+Grande/_/Love+Me+Harder,"pop, Love, sexy, rnb, max martin, hot, 2014, The Weeknd, love at first listen, synthpop"
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,Zayn,Pillowtalk,https://www.last.fm/music/Zayn/_/Pillowtalk,"pop, electronic, rnb, zayn, 2016, sexy, british, male vocalists, contemporary rnb, dance"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,,,,"rnb, electronic, trap, r&b, love at first listen, dark, alternative rnb, 2015, The Weeknd, bass"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,The Weeknd,Often,https://www.last.fm/music/The+Weeknd/_/Often,"sexy, r&b, rnb, Love, dark, Canadian, sex, The Weeknd, alternative rnb, drugged out"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,The Weeknd,Call Out My Name,https://www.last.fm/music/The+Weeknd/_/Call+Out+My+Name,"rnb, soul, Canadian, trap, 2018, r&b, sad, The Weeknd, urban, alternative rnb"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Bryson Tiller,Don't,https://www.last.fm/music/Bryson+Tiller/_/Don%27t,"trap, rnb, lap dance, alternative rnb, sexy, soul, Hip-Hop, american, Olivia, urban"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Doja Cat,Streets,https://www.last.fm/music/Doja+Cat/_/Streets,"rnb, 2010s, 2019, sexy, sensual, love at first listen, rap, MARCO, Songs to Make Love to, trap"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Rihanna,Needed Me,https://www.last.fm/music/Rihanna/_/Needed+Me,"rnb, Hip-Hop, hip hop, electronic, r&b, urban, pop, Rihanna, 2016, wonky"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Chase Atlantic,Meddle About,https://www.last.fm/music/Chase+Atlantic/_/Meddle+About,"lestappencore, vladaclaims"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Don Toliver,No Idea,https://www.last.fm/music/Don+Toliver/_/No+Idea,"hip hop, rap, rnb, trap, hiphop, psychedelic, soul, Hip-Hop, Psychedelic Soul, pop"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Frank Ocean,Thinkin Bout You,https://www.last.fm/music/Frank+Ocean/_/Thinkin+Bout+You,"rnb, soul, r&b, 2012, Neo-Soul, alternative rnb, Thinking About You, Love, love at first listen, Frank Ocean"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Frank Ocean,Pink + White,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,"rnb, Neo-Soul, For our kids, soul, beyonce, Olivia, Love, I got Olivia forever, 2016, malik and olivia"
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,Montell Fish,HOTEL,https://www.last.fm/music/Montell+Fish/_/HOTEL,"electronic, sexy, introspective, rnb, emotional, Sentimental, hot, horny, love at first listen, alternative rnb"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,,,,"rnb, pop, Ballad, synthpop, electropop, Canadian, adult contemporary, 2016, Sophisti-Pop, The Weeknd"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,The Weeknd,Call Out My Name,https://www.last.fm/music/The+Weeknd/_/Call+Out+My+Name,"rnb, soul, Canadian, trap, 2018, r&b, sad, The Weeknd, urban, alternative rnb"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,The Weeknd,Reminder,https://www.last.fm/music/The+Weeknd/_/Reminder,"rnb, Canadian, rap, Hip-Hop, canada, trap, The Weeknd, sexy, hip hop, r&b"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls,"https://www.last.fm/music/The+Weeknd,+JENNIE+&+Lily+Rose+Depp/_/One+Of+The+Girls",
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Frank Ocean,Pink + White,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,"rnb, Neo-Soul, For our kids, soul, beyonce, Olivia, Love, I got Olivia forever, 2016, malik and olivia"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Ariana Grande,Love Me Harder,https://www.last.fm/music/Ariana+Grande/_/Love+Me+Harder,"pop, Love, sexy, rnb, max martin, hot, 2014, The Weeknd, love at first listen, synthpop"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Bruno Mars,That's What I Like,https://www.last.fm/music/Bruno+Mars/_/That%27s+What+I+Like,"funk, rnb, 2010s, new jack swing, 2016, pop, soul, american, 2017, love at first listen"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Zayn,Pillowtalk,https://www.last.fm/music/Zayn/_/Pillowtalk,"pop, electronic, rnb, zayn, 2016, sexy, british, male vocalists, contemporary rnb, dance"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Doja Cat,Streets,https://www.last.fm/music/Doja+Cat/_/Streets,"rnb, 2010s, 2019, sexy, sensual, love at first listen, rap, MARCO, Songs to Make Love to, trap"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Bruno Mars,Locked Out of Heaven,https://www.last.fm/music/Bruno+Mars/_/Locked+Out+of+Heaven,"pop, rnb, Bruno Mars, 10s, 2012, male vocalists, american, cant even express how much i love this song, 2010s, new wave"
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,Ariana Grande,Dangerous Woman,https://www.last.fm/music/Ariana+Grande/_/Dangerous+Woman,"pop, rnb, 2016, sexy, best of 2016, love at first listen, dangerous woman, Ariana Grande, hino, feminist"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,,,,"rnb, pop, love at first listen, r&b, 2015, Disco, Canadian, funk, The Weeknd, bbc radio1 playlist 2015"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,"rnb, electronic, trap, r&b, love at first listen, dark, alternative rnb, 2015, The Weeknd, bass"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,The Weeknd,Often,https://www.last.fm/music/The+Weeknd/_/Often,"sexy, r&b, rnb, Love, dark, Canadian, sex, The Weeknd, alternative rnb, drugged out"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls,"https://www.last.fm/music/The+Weeknd,+JENNIE+&+Lily+Rose+Depp/_/One+Of+The+Girls",
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Bruno Mars,Locked Out of Heaven,https://www.last.fm/music/Bruno+Mars/_/Locked+Out+of+Heaven,"pop, rnb, Bruno Mars, 10s, 2012, male vocalists, american, cant even express how much i love this song, 2010s, new wave"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Ariana Grande,Love Me Harder,https://www.last.fm/music/Ariana+Grande/_/Love+Me+Harder,"pop, Love, sexy, rnb, max martin, hot, 2014, The Weeknd, love at first listen, synthpop"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Drake,Hotline Bling,https://www.last.fm/music/Drake/_/Hotline+Bling,"Hip-Hop, pop, 2015, rnb, love at first listen, i want drake to murder my vagina, pop rap, Drake, best of 2015, 2010s"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Bruno Mars,That's What I Like,https://www.last.fm/music/Bruno+Mars/_/That%27s+What+I+Like,"funk, rnb, 2010s, new jack swing, 2016, pop, soul, american, 2017, love at first listen"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Justin Bieber,What Do You Mean?,https://www.last.fm/music/Justin+Bieber/_/What+Do+You+Mean%3F,"pop, 2015, tropical house, Canadian, justin bieber, dance, electronic, rnb, dance-pop, party"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Rihanna,Needed Me,https://www.last.fm/music/Rihanna/_/Needed+Me,"rnb, Hip-Hop, hip hop, electronic, r&b, urban, pop, Rihanna, 2016, wonky"
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,Ariana Grande,Dangerous Woman,https://www.last.fm/music/Ariana+Grande/_/Dangerous+Woman,"pop, rnb, 2016, sexy, best of 2016, love at first listen, dangerous woman, Ariana Grande, hino, feminist"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,,,,"alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, melancholy, sad"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,"alternative, alternative rock, radiohead, rock, indie, 90s, british, beautiful, sad, melancholy"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,"alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, beautiful, britpop"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Foo Fighters,Everlong,https://www.last.fm/music/Foo+Fighters/_/Everlong,"rock, alternative rock, 90s, alternative, foo fighters, Grunge, post-grunge, hard rock, Dave Grohl, beautiful"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Pixies,Where Is My Mind?,https://www.last.fm/music/Pixies/_/Where+Is+My+Mind%3F,"alternative, rock, alternative rock, indie, indie rock, fight club, Soundtrack, 80s, loved, pixies"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,The Cranberries,Zombie,https://www.last.fm/music/The+Cranberries/_/Zombie,"rock, alternative, 90s, alternative rock, female vocalists, irish, The Cranberries, zombie, cranberries, political"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Weezer,Buddy Holly,https://www.last.fm/music/Weezer/_/Buddy+Holly,"rock, 90s, alternative rock, alternative, weezer, power pop, indie, indie rock, american, geek rock"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,R.E.M.,Losing My Religion,https://www.last.fm/music/R.E.M./_/Losing+My+Religion,"rock, 90s, alternative rock, alternative, REM, classic rock, pop, indie, american, 1991"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,The White Stripes,Seven Nation Army,https://www.last.fm/music/The+White+Stripes/_/Seven+Nation+Army,"rock, alternative rock, alternative, indie rock, indie, Garage Rock, 00s, The White Stripes, blues rock, american"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Wheatus,Teenage Dirtbag,https://www.last.fm/music/Wheatus/_/Teenage+Dirtbag,"rock, alternative, alternative rock, 90s, pop, 00s, pop punk, pop rock, wheatus, happy"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,bôa,Twilight,https://www.last.fm/music/b%C3%B4a/_/Twilight,"alternative rock, rock, alternative, female vocalist, british, post-grunge, indie, female vocals, Soundtrack, indie rock"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,,,,"alternative, alternative rock, radiohead, rock, indie, 90s, british, beautiful, sad, melancholy"
