artist,track,track_url,tags,description,cluster,vibe
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,"synthwave, synthpop, pop, 2019, electropop, 2010s, The Weeknd, -1001740215468, synth-pop, 2020s","Artist The Weeknd with song Blinding Lights tagged by:synthwave, synthpop, pop, 2019, electropop, 2010s, The Weeknd, -1001740215468, synth-pop, 2020s",3,Reflective
The Weeknd,Starboy,https://www.last.fm/music/The+Weeknd/_/Starboy,"rnb, pop, electronic, Daft Punk, 2016, electropop, 2010s, synthpop, The Weeknd, dance","Artist The Weeknd with song Starboy tagged by:rnb, pop, electronic, Daft Punk, 2016, electropop, 2010s, synthpop, The Weeknd, dance",4,Euphoric
The Weeknd,The Hills,https://www.last.fm/music/The+Weeknd/_/The+Hills,"rnb, electronic, trap, r&b, love at first listen, dark, alternative rnb, 2015, The Weeknd, bass","Artist The Weeknd with song The Hills tagged by:rnb, electronic, trap, r&b, love at first listen, dark, alternative rnb, 2015, The Weeknd, bass",3,Reflective
The Weeknd,Die for You,https://www.last.fm/music/The+Weeknd/_/Die+for+You,"rnb, pop, Ballad, synthpop, electropop, Canadian, adult contemporary, 2016, Sophisti-Pop, The Weeknd","Artist The Weeknd with song Die for You tagged by:rnb, pop, Ballad, synthpop, electropop, Canadian, adult contemporary, 2016, Sophisti-Pop, The Weeknd",3,Reflective
The Weeknd,Can't Feel My Face,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,"rnb, pop, love at first listen, r&b, 2015, Disco, Canadian, funk, The Weeknd, bbc radio1 playlist 2015","Artist The Weeknd with song Can't Feel My Face tagged by:rnb, pop, love at first listen, r&b, 2015, Disco, Canadian, funk, The Weeknd, bbc radio1 playlist 2015",3,Reflective
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,"alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, melancholy, sad","Artist Radiohead with song Creep tagged by:alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, melancholy, sad",1,Determined
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,"alternative, alternative rock, radiohead, rock, indie, 90s, british, beautiful, sad, melancholy","Artist Radiohead with song No Surprises tagged by:alternative, alternative rock, radiohead, rock, indie, 90s, british, beautiful, sad, melancholy",2,Nostalgic
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,"alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, beautiful, britpop","Artist Radiohead with song Karma Police tagged by:alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, beautiful, britpop",1,Determined
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,"alternative, alternative rock, rock, 90s, radiohead, british, indie, britpop, beautiful, acoustic","Artist Radiohead with song High and Dry tagged by:alternative, alternative rock, rock, 90s, radiohead, british, indie, britpop, beautiful, acoustic",2,Nostalgic
Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android,"alternative rock, alternative, rock, indie, radiohead, 90s, british, experimental, Progressive rock, indie rock","Artist Radiohead with song Paranoid Android tagged by:alternative rock, alternative, rock, indie, radiohead, 90s, british, experimental, Progressive rock, indie rock",1,Determined
